iter	Passed	Remaining
0	2	289
1	5	259
2	7	246
3	9	228
4	13	256
5	16	251
6	18	247
7	21	242
8	23	236
9	25	232
10	28	228
11	29	219
12	31	208
13	32	197
14	33	188
15	34	179
16	35	172
17	36	164
18	37	158
19	38	153
20	39	148
21	40	144
22	41	139
23	42	135
24	43	131
25	44	127
26	45	124
27	47	122
28	48	119
29	49	115
30	50	112
31	51	109
32	52	107
33	53	104
34	54	101
35	55	98
36	56	95
37	56	92
38	57	89
39	57	86
40	58	84
41	58	81
42	59	78
43	59	76
44	60	74
45	61	71
46	61	69
47	62	67
48	62	65
49	63	63
50	64	61
51	65	60
52	65	58
53	66	56
54	66	54
55	67	53
56	68	51
57	68	49
58	69	48
59	69	46
60	70	45
61	71	43
62	71	42
63	72	40
64	72	39
65	73	37
66	74	36
67	74	35
68	75	33
69	76	32
70	76	31
71	77	30
72	78	28
73	78	27
74	79	26
75	79	25
76	80	24
77	81	22
78	81	21
79	82	20
80	83	19
81	84	18
82	84	17
83	85	16
84	85	15
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	89	8
91	90	7
92	91	6
93	91	5
94	92	4
95	92	3
96	93	2
97	93	1
98	94	0
99	95	0
